Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
8	Osmia_rufohirta	Bee	Small_bee	Short-tongued_medium-sized_bees	FAB	1
20	Osmia_rufohirta	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
17	Osmia_rufohirta	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
34	Anaspis	Coleoptera	Coleoptera	Beetles	AMO	1
17	Anaspis	Coleoptera	Coleoptera	Beetles	EFL	1
37	Anaspis	Coleoptera	Coleoptera	Beetles	ESE	1
35	Anaspis	Coleoptera	Coleoptera	Beetles	HOE	1
37	Anaspis	Coleoptera	Coleoptera	Beetles	SHI	1
24	Anthaxia	Coleoptera	Coleoptera	Beetles	BLA	1
24	Anthaxia	Coleoptera	Coleoptera	Beetles	HOE	1
26	Anthaxia	Coleoptera	Coleoptera	Beetles	TVUH	1
30	Anthrenus_1	Coleoptera	Coleoptera	Beetles	CSA	1
33	Anthrenus_1	Coleoptera	Coleoptera	Beetles	CSA	3
15	Anthrenus_1	Coleoptera	Coleoptera	Beetles	ECH	1
19	Anthrenus_1	Coleoptera	Coleoptera	Beetles	EFL	3
30	Anthrenus_1	Coleoptera	Coleoptera	Beetles	EFL	2
33	Anthrenus_2	Coleoptera	Coleoptera	Beetles	CSA	1
25	Anthrenus_2	Coleoptera	Coleoptera	Beetles	EFL	1
38	Anthrenus_3	Coleoptera	Coleoptera	Beetles	CSA	1
3	Aplocnemus_calidus	Coleoptera	Coleoptera	Beetles	ROF	1
31	Aplocnemus_calidus	Coleoptera	Coleoptera	Beetles	ROF	1
34	Aplocnemus_calidus	Coleoptera	Coleoptera	Beetles	ROF	1
31	Attalus_pictus	Coleoptera	Coleoptera	Beetles	ROF	7
37	Bruchid_2	Coleoptera	Coleoptera	Beetles	CAL	1
29	Bruchidius_1	Coleoptera	Coleoptera	Beetles	EFL	3
14	Bruchidius_2	Coleoptera	Coleoptera	Beetles	EFL	1
37	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	CAL	1
32	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	CSA	2
38	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	CSA	2
37	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	ESE	1
20	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	ROF	1
31	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	ROF	1
34	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	ROF	1
37	Clanoptilus_abdominalis	Coleoptera	Coleoptera	Beetles	ROF	1
35	Clytra_quadripunctata	Coleoptera	Coleoptera	Beetles	HOE	1
30	Coleòpter_vermell_gruixut	Coleoptera	Coleoptera	Beetles	CSA	1
37	Coleoptera_3	Coleoptera	Coleoptera	Beetles	EFL	1
20	Cryptocephalus_ramburi	Coleoptera	Coleoptera	Beetles	AMO	1
5	Danacea_longiceps	Coleoptera	Coleoptera	Beetles	ROF	1
37	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	CAL	4
33	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	CSA	1
14	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	EFL	1
29	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	EFL	1
17	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	HOE	1
7	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	ROF	1
30	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	ROF	1
31	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	ROF	4
38	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	ROF	1
28	Dasytes_nigroaeneus	Coleoptera	Coleoptera	Beetles	TVUH	1
17	Escarabat_2	Coleoptera	Coleoptera	Beetles	EFL	1
22	Escarabat_petit_1	Coleoptera	Coleoptera	Beetles	FLA	1
21	Escarabat_rodonet_com_una_marieta_però_blau	Coleoptera	Coleoptera	Beetles	HOE	1
5	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	1
