Parcela	X	Y	Nom_definitiu	Solitary	Separing_honeybees	Group	Functional_group_Rocka	Familia	Nom_planta	Codi_planta	Plant	Frequencia
21	1.88	41.30	Andrena_djelfensis	Solitary	Bee	Small_bee	Short-tongued_small_bees	Andrenidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Andrena_djelfensis	Solitary	Bee	Small_bee	Short-tongued_small_bees	Andrenidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	3
24	1.92	41.31	Andrena_nana	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Biscutella_laevigata	BLA	BLA	1
38	1.88	41.27	Andrena_nana	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Cistus_salviifolius	CSA	CSA	1
20	1.91	41.31	Ceratina_cyanea	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Apidae	Aphyllanthes_monspeliensis	AMO	AMO	1
15	1.88	41.30	Ceratina_cyanea	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Apidae	Thymus_vulgaris_Female	TVUF	TVU	1
7	1.86	41.30	Hylaeus_garrulus	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Colletidae	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.90	41.32	Hylaeus_garrulus	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Colletidae	Thymus_vulgaris_Female	TVUF	TVU	1
4	1.88	41.28	Hylaeus_hyalinatus	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Colletidae	Thymus_vulgaris_Female	TVUF	TVU	1
19	1.92	41.31	Lasioglossum_bimaculatum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
22	1.94	41.31	Lasioglossum_bimaculatum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Fumana	FLA	FLA	1
39	1.88	41.26	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Fumana	FLA	FLA	1
11	1.87	41.29	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Helianthemum_oelandicum	HOE	HOE	1
22	1.94	41.31	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Orobanche_latisquama	OLA	OLA	1
3	1.90	41.28	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
30	1.90	41.30	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
26	1.91	41.29	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
30	1.90	41.30	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	4
1	1.92	41.27	Lasioglossum_interruptum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Cistus_albidus	CAL	CAL	1
16	1.89	41.30	Lasioglossum_interruptum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Lasioglossum_interruptum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_malachurum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
