Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	eficient	Nom_planta	Codi_planta	Plant	Frequencia
8	1.87	41.3	Nomada_1	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Nomada_sheppardana	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
3	1.9	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
5	1.87	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
6	1.86	41.29	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
8	1.87	41.3	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
17	1.92	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
18	1.9	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
21	1.88	41.3	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
32	1.87	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
33	1.85	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
38	1.88	41.27	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
2	1.91	41.3	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
24	1.92	41.31	Andrena_lepida	Short-tongued_medium-sized_bees	eficient	Euphorbia_flavicoma	EFL	EFL	1
22	1.94	41.31	Andrena_lepida	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_lepida	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_nana	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Andrena_nana	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_nana	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
16	1.89	41.3	Andrena_vulpecula	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
35	1.83	41.28	Andrena_vulpecula	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	2
8	1.87	41.3	Ceratina_cyanea	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
21	1.88	41.3	Halictus_smaragdalus	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
15	1.88	41.3	Halictus_smaragdalus	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
18	1.9	41.31	Halictus_smaragdalus	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Hylaeus_garrulus	Short-tongued_medium-sized_bees	eficient	Dorycnium_pentaphyllum	DPE	DPE	1
18	1.9	41.31	Hylaeus_garrulus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
8	1.87	41.3	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
