Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
33	1.85	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
38	1.88	41.27	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
2	1.91	41.30	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
24	1.92	41.31	Andrena_lepida	Short-tongued_medium-sized_bees	Euphorbia_flavicoma	EFL	EFL	1
22	1.94	41.31	Andrena_lepida	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_lepida	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_nana	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Andrena_nana	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_nana	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
16	1.89	41.30	Andrena_vulpecula	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
35	1.83	41.28	Andrena_vulpecula	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	2
8	1.87	41.30	Ceratina_cyanea	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
21	1.88	41.30	Halictus_smaragdalus	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
15	1.88	41.30	Halictus_smaragdalus	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
18	1.90	41.31	Halictus_smaragdalus	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Hylaeus_garrulus	Short-tongued_medium-sized_bees	Dorycnium_pentaphyllum	DPE	DPE	1
18	1.90	41.31	Hylaeus_garrulus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
8	1.87	41.30	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
21	1.88	41.30	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
18	1.90	41.31	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	4
29	1.91	41.30	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
33	1.85	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	2
4	1.88	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
6	1.86	41.29	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	2
9	1.90	41.32	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
20	1.91	41.31	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
18	1.90	41.31	Hylaeus_sp_1	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
24	1.92	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
21	1.88	41.30	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
22	1.94	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
8	1.87	41.30	Lasioglossum_ibericum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
16	1.89	41.30	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Orobanche_latisquama	OLA	OLA	1
3	1.90	41.28	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
16	1.89	41.30	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
30	1.90	41.30	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
