Parcela	Nom_definitiu	Codi_planta	Frequencia
19	Halictus_quadricinctus	TVUF	1
19	Lasioglossum_bimaculatum	TVUF	1
19	Lasioglossum_subhirtum	TVUF	2
19	Mosca_mitjana_1	TVUF	1
19	Pseudophilotes_panoptes	TVUF	4
20	Adela_aldrovandella	TVUF	1
20	Apis	TVUF	2
21	Adela_aldrovandella	TVUF	3
21	Apis	TVUF	2
21	Empididae	TVUF	1
21	Chalcididae_5	TVUF	1
21	Sarcophagidae_4	TVUF	1
22	Adela_aldrovandella	TVUF	4
22	Andrena_lepida	TVUF	1
22	Apis	TVUF	3
22	Nomada_succinta	TVUF	1
22	Eumenes_coarctatus	TVUF	1
22	Lasioglossum_bimaculatum	TVUF	1
23	Apis	TVUF	1
23	Empididae	TVUF	2
23	Lasioglossum_transitorium_planulum	TVUF	1
23	Pseudophilotes_panoptes	TVUF	1
24	Apis	TVUF	1
24	Lasioglossum_transitorium_planulum	TVUF	1
25	Apis	TVUF	2
26	Apis	TVUF	1
26	Lasioglossum_griseolum	TVUF	1
27	Apis	TVUF	1
28	Apis	TVUF	4
28	Empididae	TVUF	1
28	Meligethes_aeneus	TVUF	1
28	Lasioglossum_transitorium_planulum	TVUF	1
29	Apis	TVUF	12
29	Empididae	TVUF	2
29	Nomada_flavoguttata	TVUF	1
29	Hylaeus_hyalinatus	TVUF	1
29	Pseudophilotes_panoptes	TVUF	1
30	Andrena_djelfensis	TVUF	1
30	Apis	TVUF	4
30	Empididae	TVUF	1
30	Nomada_flavoguttata	TVUF	1
30	Mosca_9	TVUF	1
30	Pseudophilotes_panoptes	TVUF	2
31	Apis	TVUF	3
31	Lasioglossum_transitorium_planulum	TVUF	2
31	Sarcophagidae_5	TVUF	1
32	Apis	TVUF	20
32	Bombylius_discolor	TVUF	1
32	Empididae	TVUF	1
32	Lasioglossum_transitorium_planulum	TVUF	1
33	Apis	TVUF	16
33	Chamaesyrphus	TVUF	1
33	Empididae	TVUF	2
33	Hylaeus_hyalinatus	TVUF	1
33	Lasioglossum_transitorium_planulum	TVUF	1
33	Mosca_16	TVUF	1
34	Anthophora_acervorum	TVUF	1
34	Apis	TVUF	5
34	Lasioglossum_mediterraneum	TVUF	1
34	Lobonyx_aeneus	TVUF	1
34	Microlepidoptera	TVUF	1
34	Mosca_8	TVUF	1
34	Paragus_tibialis	TVUF	1
34	Pseudophilotes_panoptes	TVUF	1
34	Rodanthidium_sticticum	TVUF	2
34	Sarcophagidae_4	TVUF	1
34	Sarcophagidae_5	TVUF	1
35	Apis	TVUF	1
35	Eristalinus_aeneus	TVUF	1
35	Meligethes_aeneus	TVUF	2
35	Mosca_mitjana_1	TVUF	1
35	Mosca_normal_1	TVUF	1
35	Musca_1	TVUF	1
36	Apis	TVUF	71
36	Polistes_gallicus	TVUF	2
36	Empididae_2	TVUF	1
36	Fals_conòpid	TVUF	1
36	Nomada_succinta	TVUF	1
36	Lasioglossum_mediterraneum	TVUF	9
36	Lasioglossum_transitorium_planulum	TVUF	1
36	Microlepidoptera	TVUF	6
36	Mosca_3	TVUF	1
36	Pseudophilotes_panoptes	TVUF	1
36	Sarcophagidae_5	TVUF	1
37	Andrena_djelfensis	TVUF	1
37	Andrena_lepida	TVUF	1
37	Andrena_nana	TVUF	1
37	Apis	TVUF	23
37	Chrysotoxum_cautum	TVUF	1
37	Lasioglossum_interruptum	TVUF	1
37	Lasioglossum_transitorium_planulum	TVUF	1
37	Microlepidoptera	TVUF	1
37	Mosca_7	TVUF	1
38	Andrena_nana	TVUF	1
38	Apis	TVUF	11
38	Empididae	TVUF	1
38	Vespa_parasita_negra_potes_taronja	TVUF	1
38	Fals_conòpid	TVUF	1
38	Hylaeus_hyalinatus	TVUF	2
38	Lasioglossum_griseolum	TVUF	1
38	Lasioglossum_subhirtum	TVUF	1
38	Lasioglossum_transitorium_planulum	TVUF	1
38	Microlepidoptera	TVUF	5
38	Mosca_16	TVUF	1
38	Mosca_17	TVUF	1
38	Mosca_18	TVUF	3
38	Mosca_7	TVUF	1
38	Sarcophagidae_1	TVUF	1
38	Sarcophagidae_5	TVUF	1
39	Apis	TVUF	6
39	Lasioglossum_transitorium_planulum	TVUF	1
40	Pseudophilotes_panoptes	TVUF	1
1	Apis	TVUH	16
1	Eristalis_tenax	TVUH	1
1	Mosca_1	TVUH	1
1	Mosca_7	TVUH	1
2	Andrena_angustior_impressa	TVUH	1
2	Apis	TVUH	12
2	Pseudophilotes_panoptes	TVUH	1
2	Stratyomidae_2	TVUH	1
3	Apis	TVUH	1
4	Apis	TVUH	3
4	Hylaeus_hyalinatus	TVUH	1
5	Mosca_petita_2	TVUH	1
6	Apis	TVUH	8
6	Hylaeus_hyalinatus	TVUH	2
8	Adela_aldrovandella	TVUH	2
8	Apis	TVUH	6
8	Sarcophagidae_6	TVUH	1
9	Apis	TVUH	11
9	Empididae	TVUH	2
9	Hylaeus_hyalinatus	TVUH	1
9	Euodynerus_bidentoides	TVUH	1
9	Lasioglossum_soror	TVUH	1
9	Lobonyx_aeneus	TVUH	1
10	Andrena_djelfensis	TVUH	1
11	Andrena_nigroaenea	TVUH	1
11	Apis	TVUH	3
12	Apis	TVUH	8
12	Chrysotoxum_cautum	TVUH	1
12	Lasioglossum_transitorium_planulum	TVUH	6
13	Apis	TVUH	5
13	Sarcophagidae_1	TVUH	1
14	Apis	TVUH	1
15	Adela_aldrovandella	TVUH	2
15	Andrena_nigroaenea	TVUH	1
15	Apis	TVUH	7
15	Oedemera_flavipes	TVUH	1
16	Andrena_djelfensis	TVUH	1
16	Apis	TVUH	20
16	Ichneumonidae_6	TVUH	1
16	Mosca_3	TVUH	1
16	Pseudophilotes_panoptes	TVUH	1
17	Chamaesyrphus	TVUH	1
17	Mosca_mitjana-gran_1	TVUH	1
19	Apis	TVUH	3
20	Hylaeus_hyalinatus	TVUH	1
20	Diodontus	TVUH	1
21	Adela_aldrovandella	TVUH	1
21	Andrena_djelfensis	TVUH	1
21	Pseudophilotes_panoptes	TVUH	1
22	Adela_aldrovandella	TVUH	5
22	Apis	TVUH	2
22	Pseudophilotes_panoptes	TVUH	1
24	Adela_aldrovandella	TVUH	2
24	Empididae	TVUH	2
26	Andrena_nigroaenea	TVUH	1
26	Anthaxia	TVUH	1
26	Oxythyrea_funesta	TVUH	1
27	Apis	TVUH	1
27	Empididae	TVUH	1
27	Sarcophagidae_2	TVUH	1
28	Apis	TVUH	1
28	Dasytes_nigroaeneus	TVUH	1
29	Apis	TVUH	20
